ID,Customer ID,MaritalStatus,YearlyIncome,TotalChildren,EnglishEducation,HouseOwnerFlag
1,11000,M,90000,2,Bachelors,TRUE
2,11001,S,60000,3,Bachelors,FALSE
3,11002,M,60000,3,Bachelors,TRUE
4,11003,S,70000,0,Bachelors,FALSE
5,11004,S,80000,5,Bachelors,TRUE
6,11005,S,70000,0,Bachelors,TRUE
7,11006,S,70000,0,Bachelors,TRUE
8,11007,M,60000,3,Bachelors,TRUE
9,11008,S,60000,4,Bachelors,TRUE
10,11009,S,70000,0,Bachelors,FALSE
11,11010,S,70000,0,Bachelors,FALSE
12,11011,M,60000,4,Bachelors,TRUE
13,11012,M,100000,2,Bachelors,TRUE
14,11013,M,100000,2,Bachelors,TRUE
15,11014,S,100000,3,Bachelors,FALSE
16,11015,S,30000,0,Partial College,FALSE
17,11016,M,30000,0,Partial College,TRUE
18,11017,S,20000,4,High School,TRUE
19,11018,S,30000,2,Partial College,TRUE
20,11019,S,40000,0,High School,FALSE
21,11020,S,40000,0,High School,FALSE
22,11021,S,40000,0,Partial College,FALSE
23,11022,M,40000,0,Partial College,TRUE
24,11023,M,40000,0,Partial College,TRUE
25,11024,M,60000,0,Partial College,TRUE
26,11025,M,10000,2,Partial High School,TRUE
27,11026,S,30000,2,Partial College,FALSE
28,11027,M,30000,2,Partial College,TRUE
29,11028,M,30000,2,Partial College,TRUE
30,11029,M,30000,2,Partial College,TRUE
31,11030,M,10000,2,Partial High School,TRUE
32,11031,M,20000,4,High School,TRUE
33,11032,M,20000,4,High School,TRUE
34,11033,M,20000,4,High School,TRUE
35,11034,M,20000,4,High School,TRUE
36,11035,M,10000,2,Partial High School,TRUE
37,11036,M,60000,0,Partial College,TRUE
38,11037,S,40000,0,Partial High School,FALSE
39,11038,M,10000,2,Partial High School,TRUE
40,11039,M,30000,3,Partial College,TRUE
41,11040,M,30000,0,Partial College,TRUE
42,11041,M,60000,0,Partial College,TRUE
43,11042,M,70000,0,Partial College,TRUE
44,11043,M,60000,0,Partial College,TRUE
45,11044,M,20000,2,Partial High School,TRUE
46,11045,S,30000,3,High School,FALSE
47,11046,M,30000,3,High School,TRUE
48,11047,M,30000,3,High School,FALSE
49,11048,M,30000,3,High School,TRUE
50,11049,S,40000,0,Partial High School,TRUE
51,11050,M,30000,3,High School,TRUE
52,11051,S,30000,3,High School,FALSE
53,11052,S,40000,2,Partial College,FALSE
54,11053,M,60000,0,Partial College,FALSE
55,11054,M,40000,2,Partial College,TRUE
56,11055,M,40000,2,Partial College,TRUE
57,11056,M,40000,3,Partial College,TRUE
58,11057,M,70000,2,Graduate Degree,TRUE
59,11058,M,80000,2,Partial College,TRUE
60,11059,S,80000,2,Partial College,TRUE
61,11060,M,80000,2,Partial College,TRUE
62,11061,M,80000,2,Partial College,TRUE
63,11062,M,40000,0,High School,TRUE
64,11063,S,40000,0,High School,TRUE
65,11064,M,40000,0,High School,TRUE
66,11065,M,60000,0,Partial College,FALSE
67,11066,M,70000,0,Partial College,TRUE
68,11067,S,60000,0,Partial College,TRUE
69,11068,S,80000,2,High School,TRUE
70,11069,S,80000,2,High School,FALSE
71,11070,M,80000,2,High School,TRUE
72,11071,S,80000,2,High School,TRUE
73,11072,S,80000,2,High School,FALSE
74,11073,S,70000,2,High School,TRUE
75,11074,S,70000,2,High School,TRUE
76,11075,S,80000,2,High School,TRUE
77,11076,S,80000,2,High School,TRUE
78,11077,S,80000,2,High School,FALSE
79,11078,S,40000,0,High School,FALSE
80,11079,S,160000,0,Graduate Degree,TRUE
